timestamps,TP9,AF7,AF8,TP10,Right AUX
1718680472.934,-126.465,-197.754,-344.727,-119.141,0.000
1718680472.938,332.031,-180.176,-319.824,869.629,0.000
1718680472.942,277.344,-163.574,-292.969,696.289,0.000
1718680472.946,-235.840,-153.320,-368.164,-504.883,0.000
1718680472.950,-493.652,-631.836,-510.254,-1000.000,0.000
1718680472.954,-171.387,-953.613,-617.676,-229.980,0.000
1718680472.958,266.113,-278.809,-234.863,809.082,0.000
1718680472.962,279.297,458.008,119.629,726.074,0.000
1718680472.966,-148.438,8.301,-240.234,-359.863,0.000
1718680472.969,-501.465,-636.719,-471.191,-1000.000,0.000
1718680472.973,-270.508,-350.586,-353.027,-413.086,0.000
1718680472.977,0.000,-30.273,0.000,739.746,0.000
1718680472.981,0.000,-8.789,0.000,833.496,0.000
1718680472.985,0.000,-137.207,0.000,-193.848,0.000
1718680472.989,0.000,-327.637,0.000,-999.023,0.000
1718680472.993,0.000,-184.082,0.000,-540.039,0.000
1718680472.997,0.000,-139.160,0.000,653.320,0.000
1718680473.001,0.000,-258.789,0.000,921.875,0.000
1718680473.005,0.000,20.996,0.000,10.742,0.000
1718680473.008,0.000,-180.176,0.000,-939.453,0.000
1718680473.012,0.000,-642.090,0.000,-654.297,0.000
1718680473.016,0.000,-332.520,0.000,517.090,0.000
1718680473.020,0.000,385.742,0.000,922.363,0.000
